Time,,x(t),vx(t),,y(t),vy(t),,z(t),vz(t)
160,,940.631,5.87883,,-9521.71,3.75359,,-54863.4,2.06409
160.5,,943.57,5.87883,,-9519.83,3.7536,,-54862.3,2.06415
161,,946.51,5.87883,,-9517.96,3.75361,,-54861.3,2.06422
161.5,,949.449,5.87882,,-9516.08,3.75362,,-54860.3,2.06428
162,,952.388,5.87882,,-9514.2,3.75363,,-54859.2,2.06434
162.5,,955.328,5.87882,,-9512.33,3.75364,,-54858.2,2.06441
163,,958.267,5.87882,,-9510.45,3.75365,,-54857.2,2.06447
163.5,,961.207,5.87882,,-9508.57,3.75366,,-54856.1,2.06453
164,,964.146,5.87882,,-9506.7,3.75367,,-54855.1,2.0646
164.5,,967.086,5.87882,,-9504.82,3.75368,,-54854.1,2.06466
165,,970.025,5.87882,,-9502.94,3.7537,,-54853,2.06472
165.5,,972.964,5.87882,,-9501.07,3.75371,,-54852,2.06479
166,,975.904,5.87881,,-9499.19,3.75372,,-54851,2.06485
166.5,,978.843,5.87881,,-9497.31,3.75373,,-54849.9,2.06491
167,,981.783,5.87881,,-9495.44,3.75374,,-54848.9,2.06498
167.5,,984.722,5.87881,,-9493.56,3.75375,,-54847.9,2.06504
168,,987.661,5.87881,,-9491.68,3.75376,,-54846.8,2.0651
168.5,,990.601,5.87881,,-9489.81,3.75377,,-54845.8,2.06517
169,,993.54,5.87881,,-9487.93,3.75378,,-54844.8,2.06523
169.5,,996.48,5.87881,,-9486.05,3.75379,,-54843.7,2.06529
170,,999.419,5.87881,,-9484.17,3.75381,,-54842.7,2.06536
170.5,,1002.36,5.8788,,-9482.3,3.75382,,-54841.7,2.06542
171,,1005.3,5.8788,,-9480.42,3.75383,,-54840.6,2.06548
171.5,,1008.24,5.8788,,-9478.54,3.75384,,-54839.6,2.06555
172,,1011.18,5.8788,,-9476.67,3.75385,,-54838.6,2.06561
172.5,,1014.12,5.8788,,-9474.79,3.75386,,-54837.5,2.06567
173,,1017.06,5.8788,,-9472.91,3.75387,,-54836.5,2.06574
173.5,,1019.99,5.8788,,-9471.04,3.75388,,-54835.5,2.0658
174,,1022.93,5.8788,,-9469.16,3.75389,,-54834.4,2.06586
174.5,,1025.87,5.87879,,-9467.28,3.7539,,-54833.4,2.06593
175,,1028.81,5.87879,,-9465.41,3.75391,,-54832.4,2.06599
175.5,,1031.75,5.87879,,-9463.53,3.75393,,-54831.3,2.06605
176,,1034.69,5.87879,,-9461.65,3.75394,,-54830.3,2.06612
176.5,,1037.63,5.87879,,-9459.77,3.75395,,-54829.3,2.06618
177,,1040.57,5.87879,,-9457.9,3.75396,,-54828.2,2.06625
177.5,,1043.51,5.87879,,-9456.02,3.75397,,-54827.2,2.06631
178,,1046.45,5.87879,,-9454.14,3.75398,,-54826.2,2.06637
178.5,,1049.39,5.87879,,-9452.27,3.75399,,-54825.1,2.06644
179,,1052.33,5.87878,,-9450.39,3.754,,-54824.1,2.0665
179.5,,1055.27,5.87878,,-9448.51,3.75401,,-54823.1,2.06656
180,,1058.21,5.87878,,-9446.64,3.75402,,-54822.1,2.06663
180.5,,1061.15,5.87878,,-9444.76,3.75403,,-54821,2.06669
181,,1064.09,5.87878,,-9442.88,3.75405,,-54820,2.06675
181.5,,1067.03,5.87878,,-9441,3.75406,,-54818.9,2.06682
182,,1069.96,5.87878,,-9439.13,3.75407,,-54817.9,2.06688
182.5,,1072.9,5.87878,,-9437.25,3.75408,,-54816.9,2.06694
183,,1075.84,5.87877,,-9435.37,3.75409,,-54815.8,2.06701
183.5,,1078.78,5.87877,,-9433.5,3.7541,,-54814.8,2.06707
184,,1081.72,5.87877,,-9431.62,3.75411,,-54813.8,2.06713
184.5,,1084.66,5.87877,,-9429.74,3.75412,,-54812.7,2.0672
185,,1087.6,5.87877,,-9427.86,3.75413,,-54811.7,2.06726
185.5,,1090.54,5.87877,,-9425.99,3.75414,,-54810.7,2.06732
186,,1093.48,5.87877,,-9424.11,3.75416,,-54809.6,2.06739
186.5,,1096.42,5.87877,,-9422.23,3.75417,,-54808.6,2.06745
187,,1099.36,5.87876,,-9420.36,3.75418,,-54807.6,2.06751
187.5,,1102.3,5.87876,,-9418.48,3.75419,,-54806.5,2.06758
